"0","パワーⅠ","打撃+10"
"1","パワーⅡ","打撃+20"
"2","パワーⅢ","打撃+30"
"3","パワーⅣ","打撃+35"
"4","パワーⅤ","打撃+40"
"5","シュートⅠ","射撃+10"
"6","シュートⅡ","射撃+20"
"7","シュートⅢ","射撃+30"
"8","シュートⅣ","射撃+35"
"9","シュートⅤ","射撃+40"
"10","テクニックⅠ","法撃+10"
"11","テクニックⅡ","法撃+20"
"12","テクニックⅢ","法撃+30"
"13","テクニックⅣ","法撃+35"
"14","テクニックⅤ","法撃+40"
"15","アームⅠ","技量+10"
"16","アームⅡ","技量+20"
"17","アームⅢ","技量+30"
"18","アームⅣ","技量+35"
"19","アームⅤ","技量+40"
"20","ボディⅠ","打防+10"
"21","ボディⅡ","打防+20"
"22","ボディⅢ","打防+30"
"23","ボディⅣ","打防+35"
"24","ボディⅤ","打防+40"
"25","リアクトⅠ","射防+10"
"26","リアクトⅡ","射防+20"
"27","リアクトⅢ","射防+30"
"28","リアクトⅣ","射防+35"
"29","リアクトⅤ","射防+40"
"30","マインドⅠ","法防+10"
"31","マインドⅡ","法防+20"
"32","マインドⅢ","法防+30"
"33","マインドⅣ","法防+35"
"34","マインドⅤ","法防+40"
"35","アビリティⅠ","全+5"
"36","アビリティⅡ","全+10"
"37","アビリティⅢ","全+15"
"38","アビリティⅣ","全+20"
"39","アビリティⅤ","全+30"
"40","スタミナⅠ","HP+20"
"41","スタミナⅡ","HP+40"
"42","スタミナⅢ","HP+50"
"43","スタミナⅣ","HP+60"
"44","スタミナⅤ","HP+70"
"45","スピリタⅠ","PP+2"
"46","スピリタⅡ","PP+3"
"47","スピリタⅢ","PP+4"
"48","スピリタⅣ","PP+5"
"49","スピリタⅤ","PP+6"
"50","パワー・ブースト","打撃+25"
"51","シュート・ブースト","射撃+25"
"52","テクニック・ブースト","法撃+25"
"53","スタミナ・ブースト","HP+45"
"54","スピリタ・ブースト","PP+5"
"55","グワナ・ソール","打撃+30 HP+10 PP+2"
"56","ラグネ・ソール","法撃+30 HP+20"
"57","ウォルガ・ソール","法撃+30 HP+10 PP+2"
"58","エルダー・ソール","法撃+30 PP+3"
"59","シグノ・ソール","技量+30 HP+20 PP+1"
"60","マイザー・ソール","射撃+30 PP+3"
"61","ヴァーダー・ソール","射防+30 PP+4"
"62","キャタ・ソール","法防+30 HP+20 PP+1"
"63","ヴォル・ソール","打撃+30 HP+20"
"64","クォーツ・ソール","打撃+30 PP+3"
"65","ロックベア・ソール","打防+30 HP+10 PP+3"
"66","マルモ・ソール","射防+30 HP+20 PP+1"
